name,version,hash
isoqlog,2.2.1-9.1,424efdc0a603d9b50327532d2d21b253
gpsmanshp,1.2.3-6,efd374bc024f68234309bb3d8cd11f1a
python3-breezy,3.2.1+bzr7568-1,ac9dac15a40089b7e1f3abd507bc4857
fp-units-math,3.2.2+dfsg-5,cae3a6a8675e8c0e69766dea3a7a0295
libfcml0,1.2.2-2,4af59f64487c20bb9cc6cffb6bca3123
network-manager-fortisslvpn-gnome,1.2.8-2+b2,fae0f9b006a4c57aff0268d7e4b8a181
libwslay-dev,1.1.1-3,090639cd07b9c047b10eeb2a35befd62
friendly-recovery,0.2.42,dd99242f68de0ded886c5e1aa8020708
libchafa0,1.8.0-1,a34cfcdd4db24faead5a848d15b14ed8
python3-pynvim,0.4.2-1,ba568d7639d3cffaf49bc7aef9532ded
libvtk7-qt-dev,7.1.1+dfsg2-10.1,8b17ea6910133985079fe8b1a41841b4
lib32gfortran-9-dev-s390x-cross,9.4.0-1cross1,3e3b75a19f18488baba4391f53901de4
node-simple-swizzle,0.2.2-4,a62ad5007218a9dbd2395d8b7e2d9054
golang-github-dchest-cssmin-dev,0.0~git20151210.0.fb8d9b4-4.1,0bc7b262a1addc85a75f28deaff42f86
libirstlm1,6.00.05-3,aaa22ab68448a17a916e063968d9f08c
libdist-zilla-plugin-mojibaketests-perl,0.8-1.1,a515a82a6b9a8db4f79e06b74560289d
libecryptfs1,111-5,43d3496e4e6daf86774239a19ad63f9a
libsiconos-numerics6,4.3.1+dfsg-2+b1,df9bec2bcdbc64793ac5b977a6e0fe6e
r-cran-rook,1.1-1+dfsg-3,e1c76f4e3c1d9ee20783b37207ac68f8
libgnomekbd8,3.26.1-2,760c52ce65e0cd3afb754f0278991713
libburn4,1.5.4-1,c8a2641cdad7bd8e7c9c289dfbedd8fb
libdatabase-dumptruck-perl,1.2-2.1,4e58f23f8ab59885950edd6c267af390
libdata-dumpxml-perl,1.06-2,16094bac7f3668e469dfd28262e5dd2a
libx32asan6-i386-cross,11.2.0-9cross1,164590ede9741ec23ef29f44c7d5ed37
python3-botan,2.18.2+dfsg-1,e536c123ad76678085eee8b674f3a436
librust-mime-dev,0.3.9-1+b1,b06d9299186d4c75c21442325b5b7986
libldacbt-abr2,2.0.2.3+git20200429+ed310a0-4,01f7ae44061c5063e866c358313bdc1c
libqglviewer-dev-qt5,2.6.3+dfsg2-9,591abc5d007ebcec64c53d4c5449abd1
maint-guide-de,1.2.47,bc86da37889ce8c07b2b61f8ab32cf5a
libspf2-2,1.2.10-7.1,94c9468c5149bb5c25304d7b000b8330
libcamljava-ocaml-dev,0.3-4,2f1d59f2061faa87876f54ca490420f0
libcommons-csv-java,1.9.0-1,48070b681750ea3ce9cabaf0eae0d6b1
librust-simplelog-dev,0.7.4-1,4e997ac7bc2c600a249e94d207679847
libppx-sexp-conv-ocaml,1:0.14.1-1+b2,6b07a68cef56900f61ee2ceef5ee38cf
avra,1.3.0-3+b1,9e3acd2e823b1edc5784c35255a296ea
libcpu-features-dev,0.6.0-3,ea1afeb8bffc02bdfe08125d97974eba
probabel,0.5.0+dfsg-4,2b895203a683f76e4b957dc3eeacfa36
libfreemarker-java,2.3.23-11,d33f0cd43de34d0a23ce147be0a5ac81
harminv,1.4.1-3,b380a9b27f454965d254435315c1b4e8
nixnote2,2.1.6+dfsg1-1,20d4b1156e5556f2fe02107cdc4614ab
libdynamite-dev,0.1.1-2+b2,903c0d523659a5e132bb4ee1041bc640
boot-info-script,0.78-3,1aae6530897ac5b02eb9a5f1e06f2287
libbitstring-ocaml,4.0.1-1,95de9df45040b97a4dd479b46a748772
seqkit,2.0.1+ds-2,39d0b69dcd5bc4dac6a2f7f43636c805
terminology-data,1.11.0-1,ac33a2beb86a2fdfe0e312fa914b606a
libpostscriptbarcode,20200401-1.1,8938fe9f20853256adb3983aaffe3bfb
libsbjson-dev,2.3.2-4+b3,08387f8f16b2811bcf88fd5f6a954fd7
multimedia-broadcasting,0.10,1cb38a015402eaa7e8fcd702df1db573
ros-actionlib-msgs,1.13.1-1,90cd57a8e279a0cbacb38adc2e88a922
minimap,0.2-6,f2e2c85ca1fe3ce3e5fc745841737dcb
elpa-subed,0.0.1+git20210228.49ddccc-2,d2ff8fce00b68363d9870a3a4ecdf302
epic4,1:2.10.10-1,9a84e6201e459c243ec450c65bf7d426
librust-linked-hash-map+serde-test-dev,0.5.4-1,919b22ff7e5c42dda2aab75fa2421283
elpa-geiser,0.10-1,0ca4575d41183357c90f315331bfeca3
gir1.2-caribou-1.0,0.4.21-7.2,539536bf032f3245e12f78e89b5fba90
golang-github-komkom-toml-dev,0.0~git20211215.3c8ee9d-1,b7599557d8ec0fbf885ac1cf67a5f61d
matrix-synapse,1.49.2-1,4c38253ce27f117aa61b1374cc7df9cc
php-horde-feed,2.0.4-9,3bd976c67208eac487539e928f8d93b6
xfonts-bolkhov-cp1251-misc,1.1.20001007-8.2,0bac948216e01e00503160c4c2882b71
inkscape-textext-doc,1.3.0-2,2ebe53867aae067416d30ab792f60acc
python3-streamlink,3.0.3-1,d50fa72f71aa3eb7dc2d10d9a19477cc
php7.4-yac,2.3.0+0.9.2-8,d20f5b7a403698239fd67d219792cc43
libxdelta2,1.1.3-10.4,3b5d890da7c256802cade1913e2ba364
libxml++2.6-dev,2.40.1-3,849a08ba1ad1f580f003acaaca5cfef9
libgnatprj8-dev,2021.0.0.0778b109-5,34bc0c65dfaad8362e3e4d366dd2c42d
dict-freedict-swe-lat,2020.12.28-1.1,d50dd835ae4923aadde3659d51c48b8c
node-sha,3.0.0-2,d1cad90bab479eb8be10ada524dac1e3
libqpx-dev,0.8.1-1,a569b0844dad09a5455893ed29edd4d2
libzmat-dev,0.9.8+ds-6,269402412de979731f37c4e54d504613
python3-colorcet,2.0.2-2+b1,e82e8998cd994cc02f4d0bc2e82f4f6c
gobjc++-11-powerpc64le-linux-gnu,11.2.0-9cross1,5a531312d8d16fa6e5aa7998e5c03a1f
python3-diagnostic-analysis,1.11.0+ds-1,4f8afca3f28b9fb31c831e81df04f06e
imagination-common,3.6-1,2ce72a0231fc91ee3192e62f31c6882b
python3-xopen,1.2.1-4,464ef3d97bdec3cf9a8fe686d45b4785
libnet-twitter-lite-perl,0.12008-1,f9056f038f3a967dffdd32de78dc49ef
php-phpseclib3,3.0.12-1,3b424bc221ebc0762e3b4783b7fe3e01
liborlite-migrate-perl,1.10-2,7d223df9e69e665ef48a2074cab4c58a
